"","userNames","userTweets"
"1","Diario La Región","francia quiere una “lista negra” de paraisos fiscales tras escandalo de los “panama papers” ortega diaz confirmo linchamientos en lo que va d yihadistas de bruselas planeaban atentar durante la eurocopa de fr trump tilda de “amañado” sistema electoral de eeuu tras perder en color tres miembros del eln mueren en ofensiva militar en colombi la tregua en yemen parece cumplirse global el “encantador de perros” cesar millan no afrontara cargos de crueldad animal emboscada a patrulla militar dejo muertos en peru nacho visito a los niños del hospital j m de los ri downey jr feliz por la incorporacion de nuevos personajes en civil w the boss entra al primer puesto de la taquill josy fernandez ”el gobierno nacional quiere ponerle un parado a la fuerza de produccion del pais” en carrizal ejecutan mantenimiento preventivo en drenajes de brisas de orient poliguaicaipuro “tomo” el nacional y el chorrit alumnos de la uee las minas corrieron por la paz distribucion de harina de maiz precocida a supermercados ha caido aparat juan gabriel nicky jam y romeo santos entre los nominados a los billboard en el callejon bernotti pasan hasta seis semanas sin agu capturan a dos sujetos que intentaron robar casa en rosaleda nort alcaldia de guaicaipuro surtira de agua comunidades esta seman gustavo sanchez “eran como diez maduristas los que me partieron la nariz ” mas de mil pacientes atendidos en pronto socorr debe la oposicion asistir a la comision de la verdad instalada por el presidente madur graduandos de la uptamca denuncian elevado costo de paquete de gr aumento de matriculas en instituciones privadas genera descontento en los represent dos heridos deja enfrentamiento en bulevar varg “educacion debe ser gratuita como lo establece la constitucion” instalan luminarias led en calles miranda miquilen y redoma de san antonio de los alt francia quiere una “lista negra” de paraisos fiscales tras escandalo de los “panama papers” ortega diaz confirmo linchamientos en lo que va d yihadistas de bruselas planeaban atentar durante la eurocopa de fr trump tilda de “amañado” sistema electoral de eeuu tras perder en color tres miembros del eln mueren en ofensiva militar en colombi la tregua en yemen parece cumplirse global el “encantador de perros” cesar millan no afrontara cargos de crueldad animal nacho visito a los niños del hospital j m de los ri oscar d leon llega para armar la fiesta latina a panam the boss entra al primer puesto de la taquill downey jr feliz por la incorporacion de nuevos personajes en civil w josy fernandez ”el gobierno nacional quiere ponerle un parado a la fuerza de produccion del pais” jimeno “redes populares permitiran organizarnos ante cualquier escenario que demande el pais” en carrizal ejecutan mantenimiento preventivo en drenajes de brisas de orient poliguaicaipuro “tomo” el nacional y el chorrit alumnos de la uee las minas corrieron por la paz distribucion de harina de maiz precocida a supermercados ha caido aparat juan gabriel nicky jam y romeo santos entre los nominados a los billboard en el callejon bernotti pasan hasta seis semanas sin agu en el barbecho denuncian que desadaptados prendieron fuego a cerr capturan a dos sujetos que intentaron robar casa en rosaleda nort alcaldia de guaicaipuro surtira de agua comunidades esta seman"
"2","Aló Ciudadano","colombia hermana de subteniente asesinado por las farc rechazo saludo de santos internacional un video muestra como una profesora golpea con crudeza a uno de sus alumnos internacional parlamento panameño aprueba ley para preservar medicina ancestral indigena internacional periodista del panama papers despedida de ún detallo las injusticias de una internacional ciudadanos protestaron en barinas por falta de comida venezuel expertos afirman que estan dadas las condiciones para invocar carta democratica venezuel el escandalo que generaron las denuncias de acoso sexual en la universidad internacional panama papers allanaron las oficinas de mossack fonseca internacional jesus faria la exportacion en el pais es una actividad rentable y sencilla econom mortandad de peces en la cienaga de cerro de san antonio econom todo esta listo para el maraton caf econom para clarin la sip esta conforme con los cambios en la argentina internacional presidente maduro llama a impulsar el motor agroalimentario econom maduro tiene “lista” la enmienda para acortar el periodo de la an venezuel maduro “acusar a dilma de un crimen o de corrupcion es una barbaridad extremista” venezuel no descartan solicitar estado de catastrofe por sardinas varadas en costas de la araucania internacional martin belaunde lossio fue internado de emergencia en clinica local internacional perú cecilia chacon alberto fujimori tiene que salir por la puerta grande internacional méxico avion 'cazahuracanes' de estados unidos visita mexico internacional el por ciento de los creditos de vivienda se toma en pesos econom piden en argentina destinar a bien publico los dolares del “caso del maletin” econom bus metromara activa ruta hacia el aeropuerto internacional la chinita fotos venezuel mitzy capriles de ledezma se solidarizo con “chuo” torrealba por actos internacional inicia programa numero de contacto con maduro en su nueva edicion video venezuel bachelet invita a chile a participar en nueva constitucion internacional pdvsa cancela intereses a tenedores de bonos y econom hombre decapito a su pareja con un machete tras discusion venezuel asamblea nacional continua segunda discusion de ley organica de referendos venezuel asi reseñan medios internacionales los linchamientos en venezuela video venezuel colombia mattos pega primero en puja por hyundai internacional macri group otra offshore descubierta internacional congreso de ee uu envio a obama proyecto sobre desarrollo de medicinas para internacional capriles venezuela esta encaminada a llegar a de inflacion venezuel la escalofriante alianza entre la mineria ilegal y la explotacion sexual internacional mexico canada y eu analizan combate a sobreproduccion de acero econom gustavo lenis deja a los aviones y vuelve a los carros econom los pillaron cuando metian licor a tocoron en un cisterna venezuel fernandez acudira a la justicia citada en caso por contratos de banco central internacional mundo otros dos inculpados por los atentados en bruselas internacional 'si gana keiko fujimori la dictadura sera legitimada' vargas llosa internacional nuvipa solicita a corpoelec publicar horarios de racionamiento electrico internacional canada tratan de contener la crisis de suicidios indigenas internacional chile cameron anuncia una ley para perseguir la evasion fiscal internacional ramos admiro a cristiano no va a haber un jugador en la historia como el deport video wilson ramos se solto a batear deport en contacto con maduro llega a su edicion numero venezuel juicio en contra de kate del castillo internacional conductor debera pagar mas de dolares por matar a una iguana internacional violent love y rin rin por el clasico blondy deport video avisail garcia no convence deport"
"3","Infocifras","hablan los filosofos ruptura de la paz social e inestabilidad polit leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir conclucomision leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir leyendas urbanas sobre el a de basta de mentir"
"4","Canal de Noticias","asilovivimos periodistas venezolanos se autocensuran para evitar repre libertaddeexpresion periodismo venezuel asilovivimos sistema de orquestas promovera conciencia ecologica y patrimonial asilovivimos unidad tributaria aumento a bolivar asilovivimos sujeto esposado intenta escapar de la policia de manera peculiar vide asilovivimos productores el agro atascado por repuest asilovivimos registran en camara un tiroteo durante robo en carac asilovivimos expertos de ddhh denuncian el acoso de televisoras del gobierno a activ activistas venezuela vtv asilovivimos aerolinea delta de eeuu prohibe el transporte de trofeos de caz asilovivimos por pedir paso a cortejo funebre fue asesinada pareja en valle coch asilovivimos obama indulta a estadounidenses condenados por trafico de drogas mund asilovivimos monumental abucheada a vielma mora cuando acudia a votar en tachira vi d elecciones vielmamor asilovivimos mana y steve aoki se unen para el remix de ‘la prision’ video escenari asilovivimos bill cosby admitio haber dado drogas a mujeres con las que se acost asilovivimos dos rollings stones se presentan en la habana con el ro cuba dos habana presentaran rollingstong asilovivimos menendez lorenzo mendoza tiene una doble moral menendez asilovivimos que sucede si te disparan debajo del agua video curiosidades viral asilovivimos julio borges los dolares baratos solo son para los amigos del gobierno politica venezuel divulgaron la primera foto del cerebro de los atentados de paris en prision saab no asistir a comision por la verdad fue un error el defensor el pueblo tarek william saab lamento qu inicia reunion de la comision por la verdad el periodista jose vicente rangel inicio las ponencias en la reun nora bracho “no es diosdado quien debe decidir que hacer con la ley de amnistia” mud convoco a movilizacion nacional para exigir salida constitucional de madur asilovivimos que puede ocurrir si se va la luz el d funcionarian las maquinas d maquinas venezuel asilovivimos blanca eekhout los mismos asesinos de serra pretendian matar a daniella c blancaeekhout venezuel asilovivimos ex alcalde de bogota reitero que en venezuela no hay escasez gustavopetr asilovivimos asesinaron a un bombero mientras dormia con su hijo en tachira sucesos venezuel asilovivimos inicio juicio del presunto asesino de elisa guerrero elisaguerrreo suces asilovivimos carlos ortega dice que la an “sera objeto de un asalto” carlosorteg fuenoticia capriles “en todas partes quieren sacar a maduro porque no sirve” fuenoticia saab “ee uu desnaturaliza la realidad de la situacion de dd hh en venezuela” asilovivimos tsipras repite victoria holgada en grecia y gana su apuesta mundo tsipr asilovivimos florentino primera se desahogo desde miami por triunfo de la oposicion elecciones florentin asilovivimos iglesia catolica clama por amnistia a presos politicos en venezuela amistia iglesi asilovivimos hector rodriguez denuncio a liborio guarulla ante la hectorrodriguez liborioguarulla venezuel asilovivimos sheryl rubio se une a tves y los comentarios en las redes no se hicieron espe escenario sherlyrubi asilovivimos steven tyler canto con musico callejero en calles de moscu video escenari asilovivimos los cambios en la nueva app de google photos para android fot android aplicacion app tecbnologi asilovivimos en lima se rescatan mas de mil animales silvestres al año de manos de tra animales lima rescat asilovivimos militares detenidos en tachira por vinculacion con paramilita paramilitares tachira venezuel asilovivimos un mes despues del sismo en nepal los supervivientes esperan rehacer sus v asilovivimos tres policias heridos en enfrentamiento en reten el marite en zulia elmarite suces asilovivimos atacaron con bombas lacrimogenas a candidatos de la mud en charallave politica venezuel mud convoco a movilizacion nacional para exigir salida constitucional de madur asilovivimos la insolita respuesta de miss italia que da la vuelta al mundo video escenario tendent divulgaron la primera foto del cerebro de los atentados de paris en prision asilovivimos maduro espera ayuda de parlamento para enfrentar crisis economica emergenciaeconomica madur miguel cabrera recibio el bate de plat asilovivimos motivos del porque a las mujeres les gusta razones comprometidos mujeres prefieren varon asilovivimos los terroristas de bruselas planeaban atacar en paris durante la eurocop saab no asistir a comision por la verdad fue un error"
"5","AnaMaria HernandezG.","los papelespanama parecen una enorme lista tascon jod papelespanama moraleja todo se sabe no hay nada oculto bajo el sol apamate rosa con ana margarita en la av urdaneta hasta se ve linda la ciudad quien lo diria … dime que esta cosita linda no es una cocha pechocha quien no lo conozca que lo compre giggi… alberto ginastera un enamorado de su tierra listo publicado y tuit un suspiro de nostalgia por frank quinter trina medina salsa con amor al art rock desde la nostalgia nicky scarol chica negra del rock gladys knight la musica si paga en soundcloud ya llegan los pepsi music tiempo para amar el sonido de édgar alexand mas que un concierto de rock en cub el reggaeton visto por los universitari el streaming versus la musica en v look buena vista social club yordano profund “is the love” un reaggae electron no habia forma de salir de la piscina nos salieron escamas higuerote estado mirand payasita anita y anota version corregida y aumentada de bananin y bananon higuerote estado… amoamihija en higuerote la pasamos super higuerote estado mirand un fin de semana necesario para nuestra salud mental perfecto amoamifamilia anita rober y yo… las academias venezolanas iniciaron el año cervantino con musica a cargo de cumbe y zarambequ colegas echense un paseito por venezuela aqui esa crisis nos revienta y da para mil histori esa gatita embarazada se monto encima y no se paro hasta que le dio la realisima gana como buen… los años de alirio diaz cuantos detenidos habra hoy por quemar judas alusivos  felices pascuas de resurreccion dobla con alegria las campanas en la candelaria carac"
"6","Cool Channel TV","los lentes de los oficialistas abr madurorenunciaya maduroeshambre vzla venezuela wtf findemundo csm ahh pero para poner el garrafon de agua si piden ayuda humor risas jajaja vzla venezuela cool foto magglio ordoñez en la apple en el imperio y tu haciendo colas por comida findemundo wtf nivelpatri real madrid logra la remontada a ante el wolfsburgo con hat trick de cristiano ronaldo halamadrid abr salen a la venta entradas para la final de copa america centenari guns n’ roses inicio gira con axl rose en silla de rued cyndi lauper desvela su estrella en el paseo de la fama de hollywood mal estreno de almodovar en taquilla tras aparecer en panama papers pp de españa tilda a maduro de “energumeno impresentable” el pais el exilio venezolano en miami sigue la pista de cargos y simpatizantes del regimen de maduro asentados en eeuu fiscalia solicito a dominicana detener a venezolanos procesados por drog al menos cadaveres han sido ingresados a la morgue de caracas este m seis muertos por tiroteo en valles del tuy mp ha iniciado investigaciones por linch tres sargentos robaron una moto con arma de la escuela milit sip pide a venezuela detener cierre de medios por falta de papel henri falcon el cambio en el pais es irrevers an exhortara al cne y al tsj sobre el caso de diputados impugn turistas pagaran sus servicios en divisas sector turismo tendra que vender de dolares ingres avianca calcula deuda del gobierno venezolano en mas de millones de dolar sundde estudiara nuevos precios de estacion alejandro grisanti pronostica que este año el pais experimentara una contraccion d sidor cumple tres meses sin producir acero maduro crea ministerio de industrias basicas estrategicas y social central azucarera de trujillo paraliza sus molinos por falta de insum trabajadores del sector electrico exigen firma del contrato colect pizarro exige al seniat que se utilicen impuestos para pago de bono a pension del salario se va en pasaje residentes del tuy pagan bs al mes para viajar a carac maduro anuncia que las tarifas electricas se iran ajustando como los de la gasolin perez abad llama a empresarios a que “rompan el cochinito” e inviertan en el pais tas como loc fedecamaras ajustes de precios deben ser reales en funcion de los cost la federacion asegura que hay un desabastecimiento de de medicamentos en los hospital federacion medica venezolana denuncia holocausto de la salud decretado por este gobiern tia de policia preso por el a recuerda a cilia flores lo que es tener un sobrino tras las rej en redes en achaguas se negaron a firmar contra la ley de amnistia a cambio de com capriles hoy mas que nunca lograr amnistia depende del revocatorio primero justicia activa su base social para exigir el revocatori provea maduro banaliza “comision de la verdad” para aumentar impunidad en violaciones de ddhh instalaran este martes comision de la verdad encabezada por aristobulo puro show"
"7","Radio Fe y Alegría","alfredo meza comision de la verdad no aclarara los hechos del de abril audi merideños continuan en la busqueda de “los desaparecidos” exposiciones sin miedo y las bibliomulas en audi inicia primera fase de saneamiento de caños en maturin federacion de transporte de guayana critica llamado a par alfredo meza comision de la verdad no aclarara los hechos del de abril audi merideños continuan en la busqueda de “los desaparecidos” exposiciones sin miedo y las bibliomulas en audi inicia primera fase de saneamiento de caños en maturin federacion de transporte de guayana critica llamado a par un nuevo ministerio no resuelve la situacion de las empresas basicas audi estudiantes de la universidad romulo gallegos paralizaron actividades academ chuo torrealba aqui no hace falta una comision por la verdad de madur “trabajadores electricos” exigen nuevo contrato colectivo audi estudiantes de la universidad romulo gallegos paralizaron actividades academ chuo torrealba aqui no hace falta una comision por la verdad de madur “trabajadores electricos” exigen nuevo contrato colectivo audi jabon azul llego a mil bolivares en tucupit colectivos rechazaron “show” por el revocatorio vide en delta amacuro no paralizaran el transport la mud volvio a pedir inicio del revocatorio en el cne audi en tucupita exigen sueldo minimo en bs jabon azul llego a mil bolivares en tucupit colectivos rechazaron “show” por el revocatorio vide en delta amacuro no paralizaran el transport la mud volvio a pedir inicio del revocatorio en el cne audi en tucupita exigen sueldo minimo en bs prohiben a medicos hablar sobre salud de wara transportistas del tachira no se uniran al paro nacional audi hambre y miseria en la comunidad de caracolito municipio guajir transportistas del tachira no se uniran al paro nacional audi hambre y miseria en la comunidad de caracolito municipio guajir par de bandas dedicadas al robo y hurto desmanteladas por la gnb par de bandas dedicadas al robo y hurto desmanteladas por la gnb gobernador del banco popular de china confia en america latin asi luce el camerino de estudiantes de caracas vide docentes descartan paro de actividades en lara audi fontur recibe solicitudes para adquirir la tarjeta inteligente en merida audi gobernador de banco popular de china dice tener confianza en america latin asi luce el camerino de estudiantes de caracas vide sindicatos docentes descartan paralizacion de actividades esta semana en lara audi fontur recibe solicitudes para adquirir la tarjeta inteligente en merida audi marcharan en tucupita por decadencia de la salud waraos dolarizan economia en el bajo delt"
"8","opinionynoticias.com","del ‘malware’ llega a las compañias a traves de l huawei p debuta en londres con su camara de lente dual por l air france participara en el maraton caf la inflacion nos empobrece a todos es el peor castigo para un puebl es tiempo de frenar el retroceso y reencontrarnos en el camino del progreso y la prosper vuelvo a ser pobre por paciano padron digitel actualiza su red de tercera generacion en el estado mirand nuevos scam en facebook con tiendas falsas de ray ban tech lenovo anuncia nuevos servidores tech whatsapp echa el candado a los mensajes por rosario g gomez tech calle y elecciones por margarita lopez maya investig y si el pueblo deja de creer en la democracia por guillermo martin politolog el peru gira a la derecha por antonio sanchez garcia histori lenovo anuncia nuevos servidor nuevos scam en facebook con tiendas falsas de ray b delincuentes usan instagram para vender armas v gomez el paso que acaba de dar whatsapp para proteger las comunicaciones viene obligado por la competent whatsapp echa el candado a los mensajes por rosario g gomez la politica callejera es un arma clave en la lucha por nuestros derechos y aspir la democracia no puede prescindir de la politica de la call calle y elecciones por margarita lopez may cedice libertad analizara las prioridades de la labor parlamentaria en tiempos de crisis el agotamiento de la izquierda forista sigue su avance en la region el peru gira a la derecha por antonio sanchez garc y si el pueblo deja de creer en la democracia por guillermo martin gilmore girls en netflix nettv egaña venezuela es un paciente en terapia intensiva que tiene que ser operado sin dil el futuro depende del presente por fernando luis egaña ve los precios del petroleo un ejercicio de levitacion por jose rafael revenga consultor golpe tras golpe por carolina alcalde roman ve presente en la convencion anual de turismo de aruba cata la supuesta doble nacionalidad de maduro por luis fuenmayor toro ve de algo peor que el fmi por luis barragan “simplificacion de la produccion” tesis sin microfundamentos ni legalidad por enrique gonzalez econom prohibido rendirse prohibido fracasar fernando facchin b la hora de los ciudadanos por pablo aure ve disquisiciones sobre la nacionalidad de maduro por luis jose semprum ve egaña no todas las renuncias son voluntarias hay otras que son inducidas por la legitima presion socio polit el futuro depende del presente por fernando luis egañ la receta socialista ha resultado y resulta peor que “varios fmi junt hay que gritarle al gobierno en las calles “basta de golpes contra el puebl para el m g padrino por oswaldo álvarez paz abog"
"9","Carolina Arcaya","de abril años de impunidad y recuerdos secuestr el pp español llama a maduro “energumeno impresentable” expresidenta kirchner llega a buenos aires para declarar ante la justici medicos venezolanos denuncian ‘holocausto de la salud’ por escasez de medicin kobe bryant se retir venezuela sobre la facultad del presidente para disolver la asamblea nacional lucena a la ciudadania el cne es una institucion bien seri asesinos de facundo cabral fueron condenados con años de prision la reaccion mas bonita de youtube baby leo estrena gafas y ve la cara de su madre por primera vez españa llama a consultas a su embajador en carac dinero de la corrupcion financio la campaña de rousseff en brasil ni que intenten borrar esconder los delitos de evasion fiscal todo saldra a la luz a partir del año aristoteles nuñez panamapapers dice marina walker de icij que solo entregaran informacion a periodista no a gobiernos no a investigadores privados panamapapers jajjajajajajajja tranquila mi dulce cin jajajajaja para nada me parece que tus pies estan muyyyy bien puestos sobre la tierr <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E39><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38> stephen “flash” curry como poner negrita cursiva y tachar palabras en whatsapp niña dice que quiere dedicarse a ser “malandra” human rights watch denuncio ejecuciones extrajudiciales y detenciones arbitrarias en venezuel asi se investigo la mayor filtracion de la historia panama papers encuentran a una madre que desaparecio  air france autoriza a sus azafatas no volar a iran por la obligacion del vel video el impactante caso de beth la niña psicopat la respuesta de gabriela montero a las flores que le envio el embajador venezolano en canad salomon rondon en caracas vas al trabajo y no sabes si vas a volv tim burton regresa con alice through the looking glass jefe de fuerza de seguridad de brasil renuncia con criticas a rousseff colapso a pique el guri a punto de nuevo minimo histor denuncian a gobernador de vargas ante comision de politica interior de an gobierno colombiano no conoce con exactitud cuantos secuestrados tiene el eln como hacer gravy j v rangel gobierno revisa relacion economica y comercial con eeuu brasil el vicepresidente tiene el apoyo del de su partido para romper con dilma rousseff pandilleros forman ejercitos del terror en venezuel buenas tardes aunque se que la imagen data de hace años estoy interesada en saber quien es el caballero de la mism “batman v superman” recauda mm en preestren dos tercios de los venezolanos quieren que la presidencia de maduro termine este añ"
"10","D | Radio","candyman lanzara el video de su tema “señor oficial ii” en cola temer dice estar “preparado” para presidencia de brasil de donde sera parlamento venezolano solicita a maduro documento de nac luna manzanares una cubana que triunfa en fr la monja detras del regreso a cuba del “duque” hernandez la habana obreros mueren electrocutados por negligent cantautor cubano amaury gutierrez tacha de inmoral discriminacion de carnival primera remesa de western union a cuba desde a latina es enviada en panam crisis migratoria cubana continua sin solucion tras reunion regional mexico descarta servir como puente aereo para migrantes cuban cuba planea mercados mayoristas de alimentos para priv cubanos protestan frente a la compañia de cruceros carnival en caida libre inflacion venezolana se ubica en p fabelo “de cuba hasta los desechos” duélale a quien le duela estas son las miseras condiciones del pueblo cubano video mogherini apuesta en la ue por “posicion comun” sobre cub triste pero cierto pelotero cubanos pasan hambr ‘el mantero senegales’ el nuevo “vamo a calmanos” que causa furor en twitter video por poco fotografo se salva de morir tratando de captar aterrizaj a la friendzone asi humillaron a este joven al declarar su amor video se le pasó la mano madre ‘fusila’ los iphones de sus hijos para que obedezcan video insólito cae un muerto en plena calle en la habana cub maestra golpea brutalmente a un niño video costa rica urge solucion regional para migracion cubana y extracontinental opinión los hermanos castro y el arte de gobern ausentes nicaragua y cuba no estan en la reunion sobre migracion cuban el precio de pensar diferent lo que no lograron las grandes ligas lo hara el golf llevar a orlando “el duque” hernandez… oximoroncubano armando chaguaceda en blanco y trocader orlando “el duque” hernandez regresa a cub una profesora es detenida por golpear a un alumno vide adriana o la pimienta negra y la “guajira moderna” se presenta firmas para derogar la ley del canal de nicaragu congreso del partido ni mas de lo mismo ni novedades sorprendent fallecio el poeta frank abel dop desvestir un santo para vestir otr jose antonio aponte el procer desconoc en suecia la utopia socialista ahogo la prosper futsal cubano viajo a brasil para topes amist farber el plattismo y los dilemas de la oposicion en cub “no entraran” advierte gobierno de costa rica a migrantes cuban béisbol pinar del rio sigue por la remont a juicio aprueban proceso contra dilma roussef cuba destacan cooperacion en salud con sudafr videos asi fue la protesta de unpacu en palma sorian unpacu joven protesta en torre centenares guantanameros observ justicia imparable detienen a exsenador cercano a rousseff amnistía cero onu lamenta que gobierno de maduro rechace la reconciliacion en venezuel ingenius apuesta por desarrollo privado de software en cub internet mucho mas que una llamada por imo"
