"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","contra","<u+25ba>","venezuela","hoy","venezuela"
"2","peru","pais","fotos","gracias","esta"
"3","internacional","audio","video","caracas","maduro"
"4","gobierno","solo","redes","noticias","venezolanos"
"5","venezuel","hacer","fot","primera","gobierno"
"6","maduro","puede","vide","informa","ley"
