"","userNames","userTweets","followers"
"1","El Espectador","se requieren mas pruebas para confirmar vinculo entre zika y microcefalia oms colombiano ganador de palma de oro vuelve a cannes con el corto madr lapulla todos los que estan en contra de los homosexuales citan dos cosas la biblia y a un tal mark regnerus capturan a vicepresidente del sindicato de bancolombi accionistas de bp se rebelan y rechazan el salario del director general capturan al alcalde de aguachica cesar por irregularidades en programa de aliment alerta en bogota por desechos en alcantarillas y canales en epoca de lluvi brasil y argentina representan el cine latino en cann que se destapen los interbolsa papers espectadorblogs peliculas de almodovar dardenne loach dolan y jarmusch competiran en cann union ciclista internacional suspendio el uso de los frenos de disc lapulla quiere quitarles a homosexuales la posibilidad de adoptar pero sus argumentos son fals centro de bogota agobiado por la inseguridad e invasion del espacio publ congestion y caos en portal de transmilenio por accidentes de transit colombia jugara contra suecia nigeria y japon en ri capturan al alcalde de aguachica cesar por irregularidades en programa de aliment recomendados de el espectador esta dispon lapulla presidente gracias por respondernos con un video y no con almendr seleccion colombia femenina jugara contra estados unidos en los juegos olimpicos de ri cristiano modric y ramos no estuvieron en el entrenamiento de real madr lapulla promover el odio y desinformacion mueve votos pero eso no es pensar en los niñ clinton y sanders tendran un cara a cara previo a las primarias de nueva york sabias que hay un dia de la bicicleta sumate enviando tus fotos con catarsisbogot ley para no matar al toro en las corr luces y sombras del plan de desarrollo de peñal la macarena se opone a la explotacion petroler la magia del atletico del “cholo” simeon la sufrida olimpiada de óscar muñoz una captura de pantalla enviada a la persona equivocada cuentanos tu histori el mar de los libros de gab fiscalia sueca pide mantener la orden de detencion contra assang redes pueden ser un arma mindefens las dos caras del dia de la calidad educ claves del “impeachment” contra dilma rousseff malasia destruye cerca de toneladas de marfil africano ilegal “lo tecnico debe primar” luz stella paez el mensaje que lleva colombia a washington sufrida victoria de andy murray en montec asi funciona el reversible para mejorar la movilidad en la via la caler formalizaran escrituras a invasores de lot panama no compartira informacion de manera automat cae gerente de familia por cartel de papel higien iglesias cristianas se acercan al proceso de paz del eln “un pais nunca esta listo para la revolucion de los derechos” monica ro “dos mil millones de personas en el planeta no estan registradas” sanjeev khangram niño de años gravemente herido con puerta de vidrio de conjunto residencial en el caso de la union patriotica existio un plan de exterminio sistematico fiscal general ee uu confirma que el zika causa microcefali",3524132
"2","Nacion.cl","japon sufre segundo terremoto en menos de hor tecnologia el futuro del comercio electronico y la seguridad asociada al internet chofer acusado de pertenecer a uber fue atropellado en lascond mauricio macri y el masivo acto de cristina fernandez “ustedes lo vieron desafortunado” cultura las fotografias mas influyentes de national geographic llegan a santiag macri y el masivo acto de cristina “ustedes lo vieron desafortunado” vea el primer video del terremoto en japon insulza no fue mi intencion debilitar ni criticar el procesoconstituyent sicologa analiza el impactante caso de madre e hijo que se enamoraron y desean tener un beb no olvides revisar el horoscopo de hoy <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E39> hasta con memes marcelo lagos arraso en twitter y sin aparecer en television para fanaticos de gameofthrones todo lo que necesitas saber en breve enciclopedia got operacionrenta el lunes vence plazo para declarar y recibir devolucion anticip chofer acusado de pertenecer a uber fue atropellado en lascond el dia del comercio electronico tambien ofrece alternativas para el autocult panoramas para pasar el frio con cultura y entretencion musica rihanna volveria a chile en septiembr arturo vidal vuelve a tener a toda europa a sus pi marcelo larrondo supero lesion y podria regresar a las canchas este doming encuesta de chilenos esta en desacuerdo con retirar uber y cabify rancagua hallaron un cadaver al interior de un frigorif salud en que alimentos se encuentran las vitaminas que ayudan a fortalecer el organ blog “el paraiso fiscal de las cupulas partidarias” por video boko haram manda “prueba de vida” de las estudiantes secuestradas hace añ insulza no fue mi intencion debilitar ni criticar el procesoconstituyent chofer acusado de pertenecer a uber fue atropellado en lascond hola alicia te acabamos de responder por mensaje privado salud lee lo que te sugiere el horoscopo de hoy <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E39> alcalde de tocopilla defiende a meo “siento que ha habido un abuso con marco” trabajadores de la se toman el servicio de salud de viñadelm jorge sampaoli recibio una millonaria indemnizacion tras su salida de la roj ojo fans de game of thrones todo lo que quieres saber en esta breve enciclopedi gameofthrones breve enciclopedia trae todo lo que un fan desea saber got cultura las fotografias mas influyentes de national geographic llegan a santiag blog “nuevos rostros para el consejodeobservadores” por presidente d tecnologia el futuro del comercio electronico y la seguridad asociada al internet panoramas para pasar el frio con cultura y entretencion portonazo detenidos tras robo de vehiculo en maipu salud conoce las vitaminas que te ayudan a fortalecer tu organ revisa que te depara el horoscopo de hoy <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E39> alcalde de tocopilla defiende a meo “siento que ha habido un abuso con marco”",287907
"3","Chasquis","epa firmo convenio con cainco para desarrollar acciones conjuntas arica bolivi lanzan a nivel regional etapa participativa del procesoconstituyente arica parinacot una mala reforma por cristian bustos sanhueza presidente cchc ar presenta en fiscalia denuncia por ejercicio ilegal de la profesion ar aseguran que nuevo registro de hogares no permite engaño como la fichadeproteccionsocial arica parinacot cerca de mil turistas trajo a arica temporada de crucer epa y tpa realizan seminario en expologistica de santacruz bolivia puerto ar ciudades sin niños por jaime romero álvarez subsecretario minvu pretenden convertir a ex isla alacran en gran polo turistico ar injuv lanzo fondoraices para jovenes pertenecientes a pueblosoriginarios arica parinacot banda ariqueña egregor estrena videoclip de ritual ar actualizan planes de conservacion de vicuña y flamencos andinos parinacot mop revela avances de anteproyecto de nueva piscina olimpica ar arica y san miguel de azapa ya cuenta con cuatro puntos de wifi gratuit cerca de mil animales seran vacunados en campaña antirrabica arica parinacot productores de tomate de arica aprenderan a calcular su huelladecarbon funcionarios de indap en campaña por extravio de unica “gatita agropecuaria” ar molestia de ciudadanos y autoridades genera mal uso de ciclovias ar chilevamos” sin primarias aric aumentan casos de suicidios en ar astronomo aldo valcarce “en chile es donde mas telescopios hay y mas informacion se entrega” astronomia ar registrocivil inaugura oficina en hospital de ar cupos gratuitos para capacitar jovenes y ayudarlos en busqueda de primer trabajo arica parinacot empresa portuaria arica presento libro que rescata años de historia del puert mas de mil contribuyentes deberan declarar ingresos en arica y parinacota operacionrent senadis llevara adelante programa en playas inclusivas en ar mas de millones para agricultura familiar en valles de ar presidente de la cortedeapelaciones de arica sostiene encuentro con medios de comun realizaran consulta indigena por nuevo servicio publico de biodiversidad arica parinacot un de avance lleva construccion de primer parque urbano del norte de ar en arica se dio inicio a coloquios regionales sobre patrimoni gota a gota por cristian bustos sanhueza presidente cchc ar consorcios internacionales visitan chironta para adjudicarse licitacion de obras del embalse lluta ar certifican agricultores de arica en uso de plaguic inauguran liceo artistico doctor juan noe crevani ar sanitaria se suma con cuenta cuentos a celebraciones del diamundialdelagua ar nueva grua municipal comenzo a retirar autos abandonados ar comision de evaluacion ambiental aprueba proyectos de telecomunicaciones para comunas rurales arica parinacot alumnos de visviri recibieron equipos termosolares parinacot mas de millones para medios de comunicacion de arica y parinacot registrocivil aplica plan especial por feriado de semanasanta arica parinacot diez ganadores del dfl fueron asesorados por la corporacion de desarrollo arica parinacot mas de mil millones para concurso del del fndr arica parinacot queñoas de arica y parinacota forman parte del de bosques de zonas aridas del mund autoridades de la uta inician sumarios por excesos cometidos en mechones ar vuelve deporte con “calles abiertas” en ar senda presento nuevos programas preventivos a la comunidad escolar arica parinacot",1683
"4","La Tercera","eldeportivolt por arbitraje en partido entre barcelona y atletico un escandalo otra vez los puntos criticos de la region metropolitana ante las intensas lluvi eldeportivolt por presente del torneo nacional hay conformismo y falta de exigencia por otr eldeportivolt un tecnico que declara como lo hizo sierra es uno que ya esta fuer eldeportivolt leonardo veliz por ausencia de valdes y paredes estaban toc paz ciudadana critica el control de identidad prevent eldeportivolt leonardo veliz por sierra el tecnico hoy es un empleado mas eldeportivolt por sierra va a tener que hacerse cargo de lo que dij sierra se juega el cargo ante independiente del valle opina con eldeportivolt ahora corte suprema fija para el de abril revision de desafuero del senador jaime orpis a europa se le perdio messi erratico desaparec colo colo arriesga mas que la cop el satelite de la mision exomars envia sus primeras imagen caso penta por segunda vez pablo longueira comparece en fiscalia y guarda silenci putin defiende a sus castigados atletas meldonium no ha sido nunca dop ahora ministro heraldo muñoz no voy a responder mas ataques del señor evo moral la historia de como el pulpo inky se fugo del acuario de nueva zeland bachelet por proceso constituyente todos debemos ser una garantia para que los ciudadanos sean los protagon estamos sorteando un blu ray de theforceawakens solo comenta usando mouselt y ya estas particip guerrero y salvaje asi elogian a vidal en alemani el descenso mas extremo hecho en mountain bik nadal trabaja para avanzar a cuartos de final de montec expedicion que imita la vuelta al mundo de magallanes cumple un año en el m sqm fijan para de junio formalizacion contra contesse y martelli godzilla resurgence asi luce el monstruo en la nueva cinta japones ahora presidenta bachelet por proceso constituyente participen porque eso va a generar un mejor p ahora presidenta bachelet visita laboratorio de gobiern revisa la propuesta de la anfp de calendarizacion del futbol chilen ahora poder judicial fija para el de junio audiencia de formalizacion contra giorgio martelli y patricio contess el mes maldito en que messi no ha podido marcar su gol rousseff libera de funciones a cuatro ministros para que voten en contra de juicio polit operacion renta sii ha recibido declaraciones un mas que el año pas jose luis sierra se juega el cargo en colo colo ante independiente del valle comenta con eldeportivolt desde obama hasta jordan felicitan a los aplastantes warriors y sus records la historia de como el pulpo inky se fugo del acuario de nueva zeland nueva tecnica muestra los efectos del lsd en el cerebr ahora intendente orrego por sistema frontal se ha reforzado el numero de cuadrill insulza rectifica pido excusas no fue mi intencion criticar el proceso constituyent carabineros incauta una tonelada de droga en dos operativos en antofagast nobel de quimica en chile los lideres deben asumir cometido en calentamiento global benedict cumberbatch sera el grinch en nueva pelicul demre da a conocer temarios de psu para admision estamos sorteando un blu ray de theforceawakens solo comenta usando mouselt y ya estas particip la union europea crea registro de pasajeros aere cpc presenta informe con propuestas para mejorar la product los millones que mueven los dt semifinalistas de la champions leag ampliacion sismo magnitud se registra en el suroeste de japon cobre cerro con leve baja a la espera de datos economicos en chin primer smartphone robot de bolsillo saldra a la venta en mayo en japon ahora sismo se registra en japon v",1517381
"5","el mostrador","video camilavallejo y su aplaudida intervencion en discusion por leyderespetocallejer vida en línea consulta online arroja que de chilenos no esta de acuerdo con retiro autos de uber y cabify unicef se nos olvida que los niños son la poblacion mas pobre en chil video el espectacular trailer de doctorstrange de marvel disney mundo kirchnerismo denuncia a jefe banco central y a juez que investiga a cfk sii excluye de querellas a hijastro de juan carvajal dueño de empresa que presto servicios a comando de bachelet temblor de mediana intensidad se registro esta mañana en zona central opinión encuestas por primarias o como saltarse a los elector mundo bolsa de saopaulo se dispara un ante expectativas por juicio politico de dilmarousseff en directo en periscope la mesa con soledad teixido como invit mundo estadosunidos confirma relacion directa entre zika y microcefali opinión existen derechos de filiacion igualitarios en chil vida en línea cuanto cuesta mantener la momia de lenin como si estuviera v casocaval pediran prision preventiva para el sindico chadwick opinión las delaciones en la trama de las plataspolit insulza retrocede y apoya procesoconstituyente lo dije mal pido excusas no fue mi intencion critic deportes barcelona se enfrenta a si m el declive de los gobiernos progresistas en latinoamerica y ahora qu c c andar en bicicleta la energia humana que debiera sumarse a las energias renovables no convencional c c desde arica a puerto natales se desarrollan eventos gratuitos para celebrar el diadelacocinachilen mercados opinión je suis d artagn tv lasemanapolitica la trifulca constitucional c c individualidad critica social satira y humor negro en lo nuevo de teatrohoy mercado las reuniones del lobbista de rockwood con subsecretario de mineria previo al acuerdo del litio con corf bacheletismo realiza reservadas gestiones para torpedear controlpreventivodeidentidad en bancadas oficial sqm los contribuyentes que el sii decidio dejar fuera de la querell lideres de panico llegan a santiago para mostrar por primera vez su nuevo proyecto musical operacionrenta conoce los errores mas comunes que se cometen en la declaracion de rent vida en línea estudiante vietnamita inventa una maquina barata que produce aguapot insulza subestima proceso constituyente desde logica ex concertacionista creo que no va a llegar demasiado lej concesionarias y sus regulaciones al banquillo la historica batalla tras el embalsepitam opinión la discusion sobre fondecyt la actualidad de lo viejo por temblor en zona central habria sido de magnitud con epicentro en san jose de maip opinión radiografia cervical a los partidospoliticos por eddie arias villarroel sqm fiscal pide formalizacion de martelli por boletas emitidas durante precampaña de bachelet cariola y vallejo piden aclarar vinculos de agustin edwards y hernan büchi en los papeles de panam fiscal del caso sqm pone presion al sii para que presente nuevas querellas faltan nombres import larrain acusa al gobierno de intentar una manipulacion de medios para vender una pomada con procesoconstituyent la revancha de los minoritarios de sqm abogados evaluan viabilidad de ejercer acciones legales en estados un editorial plataspoliticas entre la leymordaza y las tensiones internas de la fiscalia nacional opinión bacheletismo y biopoder del gobierno pastoril al estado policiaco por opinión el momento pre constituyente por sabias que puedes rebajar gastos de educacion en la declaracion de impuest video cuando el abusosexual proviene desde la propia cas pescadores de isladepascua atribuyen a contaminacion de combustible fallas en sus motor video vidal marco un gol en el empate que clasifico al bayern a semifinales de la champions",1014059
"6","La Razon Digital","elalto aprehenden a militar implicado en feminicidio de suboficial de la fab la cob busca reunirse con evomorales y plantear incremento salarial de y de al smn lapaz personas con discapacidad se quedaran dias en patacamaya para reforzar su protest endirecto  rada fejuve revillista convoca a apoyar la marcha de personas con discapacidad pero no dijo nada del tarifazo o impuestaz endirecto  rada no quisieramos pensar que buscan instrumentalizar una movilizacion de un sector que genera tanta sensibil endirecto  rada sobre marcha de personas con discapacidad llama la atencion que dirigencia persista en la movilizacion que no es necesari endirecto  rada dice que continua el dialogo con la cob y critica posicion de la dirigencia del magisterio que convoco a moviliz endirecto  el viceministro de coordinacion con movimientos sociales alfredo rada brinda conferencia de prens iran presenta armamento militar para la guerra nuclear y quim loúltimo la fija la tarifa unica de bs para el transporte publico entre lapaz y elalt endirecto  lapaz trabajadores de la cns marchan por el centro tome previsiones foto fernando cortez benavid conoce la arquitectura transformer de lapaz y elalt lapaz  don bosco promueve ‘recreos innovadores’ con jueg lapaz el hospital de clinicas amplia espacio de oncologia y abre alberg brasil  exonera a cuatro ministros para que voten contra juicio polit delincuentes roban oficinas en un centrico edificio de lapaz sismo de magnitud en japon sacudio zona de centrales nuclear senamhi declara alerta roja por vientos en chuquisaca santacruz y tarij brasil  rousseff sanciona ley que autoriza el uso de polemica pildora contra el canc mundo  bokoharam manda ‘prueba de vida’ de las estudiantes secuestradas hace dos añ lapaz marcha de personas con discapacidad esta a km de la sede de gobiern alistan baja de dos policias violadores en cochabamb lapaz rescatan de un prostibulo a jovenes oriundas de oruro y cochabamb endirecto   lapaz personas con discapacidad reanudan su marcha estan en sica s endirecto  lapaz  cochabamba cns cumple paro nacional por abrogacion de ley que ordena atencion a no afili elalto sargento de la fab fue violada y murio estrangul loúltimo petroleo abre en ligera alza en nueva york a dolares el barril arce presenta al tcp recurso contra ajuste tributario edil de lapaz civicos de cochabamba dan plazo para que gobierno atienda plieg bolivia ende instalara planta solar en yunch bolivia  lucianita no puede operar por falta de agua y dique de col bolivia arce une alza salarial del al pago de otro aguinald bolivia exportara semen y embriones de la raza cebuin lapaz encarcelan a un jurista por caso de consorci bolivia vetan la militancia politica en convocatoria a contralor indicadoreseconomicos cotizaciondetasalibor   con datos del bcb indicadoreseconomicos sesiondelbolsin   con datos del bcb indicadoreseconomicos cotizaciones   con datos del bcb recueda hoy no ingresan al centro paceño los vehiculos con placas terminadas en y bolivia  las ffaa aceptan reclutar a pandilleros delincuent consulte el pronostico del clima previsto para hoy en su ciud ésta es la portada del suplement buenos dias revise la portada de la edicion de hoy gremio gana a liga de quito y arriba a octavos de libertadores   fab asegura que no encubrira a militares en caso de estar implicados en la muerte de una sargent morales viaja a roma para encuentro con el papa francisco en el vatican economia planta de plasticos costara us millones y sera licitada el de mayo ",198188
"7","EL DIARIO DE BOLIVIA","colombiana paulina vega es miss universo  costas y doria medina se reuniran formalmente bolivia notici bolivar lider absoluto bolivia notici gobierno y farc pactan bases para pacificacion de colombia bolivia notici exportadores recibieron bs millones por devolucion fiscal bolivia notici clasico fue para bolivar bolivia notici tragedia aerea en riberalta bolivia notici festival rock en la paz bolivia notici empresarios piden que todos tributen al pais bolivia notici bolivia avanza poco en politicas y despliegue de energia limpia bolivia notici robo de autopartes y cerebros se incrementa en la zona sur bolivia notici mas de dos millones de personas aun no tienen servicio de agua bolivia notici gobierno desplaza efectivos para garantizar erradicacion e investigacion bolivia notici oposicion continuara con protestas por los escaños bolivia notici eeuu en el limite de sus pagos va hacia el desastre mundial bolivia notici precio del azucar sube en bermejo en seis bolivianos bolivia notici doria medina no callara “corrupcion” y garcia cita “asesinato a la verdad” bolivia notici drastica accion policial despeja carretera a oruro bolivia notici prohiben salir de bolivia a militares acusados de entregar misiles a eeuu bolivia notici empresarios exhortan a controlar el gasto y evitar rebrote inflacionario bolivia notici la paz cerca a modernizacion del transporte bolivia notici avion venezolano aterriza con percance en cochabamba bolivia notici bloque del sur preparara proyecto de ley para redistribucion presupuestaria bolivia notici reclusos se levantan contra retardacion bolivia notici exfiscal marcelo sosa no puede opinar sobre caso terrorismo bolivia notici estados unidos sin presupuesto bolivia noticias noiciaseldiari margarita – huacaya inicia fase dos y sube produccion a mmmcd bolivia notici la “confesion” del presidente revela sometimiento al ejecutivo bolivia notici bancos deben adecuar hasta el lunes sus instalaciones para discapacitados bolivia notici unos mil camiones varados no conmueven a aduaneros bolivia notici belleza y elegancia en expocruz bolivia notici defensor pide inclusion de llorenti y suspension de su cargo de embajador bolivia notici exigen justicia por represion en chaparina bolivia notici santa cruz sube tres escaños y bajan potosi chuquisaca y beni bolivia notici visitas y remates rompen record en expocruz bolivia notici comibol no cooperativizara huanuni bolivia notici arce nuevo codigo procesal civil entrara en vigencia en agosto de bolivia notici arranca expocruz con expectativa de marcar record bolivia notici fiscalia solicita detencion preventiva para implicados en presunta banda de extorsion bolivia notici rechazan violencia fisica y psicologica bolivia notici nuevo escandalo de extorsion policial develan en el alto bolivia notici costas no descarta alianzas con revilla y doria medina para elecciones generales bolivia notici advierten “clientelismo politico” en la redistribucion de concesiones mineras bolivia notici trafico ilicito de armas es delito penal sancionado con y años bolivia notici onu confirma que en siria se uso gas sarin el de agosto bolivia notici censo incrementaria reasignacion de curules para pueblos originarios bolivia notici reos de san pedro piden ampliacion de indulto bolivia notici tres departamentos protestan en defensa de recursos y su desarrollo bolivia notici romero asegura que se sanearan cargos de policias bolivia notici fiscalia de la paz avanza procesos contra ormachea bolivia notici",4449
"8","EL DEBER","en el dia mundial de lucha contra el chagas en santacruzbo realizan pruebas gratuitas v economia arranca el concurso de ordeña en agropecruz gt gt gt gt estasconectado que hacer para combatir el mal de chag santacruzbo último la policia requiso anoche el penal de palmasola esto fue lo que decomiso fotos berthy vac urgente detienen a un militar por el feminicidio de su camarada maribel ceron estasconectado evo llega hoy a roma y hablara de carta pastoral estasconectado el precio del barril de crudo cae y cierra en us gt gt gt gt estasconectado mira este especial sobre la creacion de tarija y la batalla de la tabl estasconectado boko haram envia prueba de vida de niñas raptadas hace dos añ estasconectado una militar fue golpeada violada y estrangul economia la raza brahman logra campeones en agropecruz gt gt gt gt economia incremento confronta a la cob al gobierno y a empresarios de bolivia gt gt gt gt estasconectada cielos nubosos y alza de temperaturas para hoy estasconectado estas son las portadas de y   feliz juev estasconectado te deseamos una feliz jornada esta es la portada de la edicion impresa de eldeb estasconectado buen dia te presentamos el pronostico del clima para este jueves en santa cruz de la sierr estasconectado tarija estara presente en el festival barroco gt tendencias presentan una app para los viajeros bolivianos gt video dia del beso canciones intensas para celebrarlo tendencias gt confirman que virus del zika causa microcefali fiscalia anticorrupcion abre investigacion por el caso itc servicios santacruzbo mil personas vieron como explota una sandia enterate de que se trata aqu las destacadas de abril d bolivia nuevo contralor no debe tener militancia en los ultimos añ la niña boliviana que dio una leccion de coraje en argentin bolivia fijan años de limite a militancia para contralor gt adolescente mata a su pareja en pelea conyugal gt tendencias crearon un colchon que detecta infieles gt bolivia ministro de defensa dice que cupula del clero no es bolivian santacruz mañana habra paro en el san juan de dios y la cns salud gt santacruz un fallecido en accidente en la ruta a camiri gt bolivia buscan penas mas duras para policias criminales segur bolivia piden que seis ministros declaren por caso zapata denunci bolivia abren posible debate por toques de queda en el pais segur bolivia comision ira a la carcel para entrevistar a zapata polit bolivia registran a dos primeros postulantes a la defensoria del pueblo ddhh bolivia suspenden a dos policias por la violacion de menor cochabamb bolivia el mas busca regularizar interinos en instituciones polit conflictosbo cochabamba vive jornada de paro civico y bloqueos region economia ministro dice que es muy probable el pago del doble aguinaldo gt gt gt gt economia arce confirma oferta del para el incremento al salario minimo nacional gt gt gt estasconectado cristina recusa al juez y desafia a macri por ajust economia humala quiere que bolivia exporte por peru gt gt gt gt economia millones de dolares para una planta de propileno y polipropileno en tarij último asi llego maria galindo al legislativo para inscribirse como postulante a la defensoria del pueblo bolivi economia arranca agropecruz con el juzgamiento de progenie de madre animales jovenes de la raza brahm estasconectado modifican embriones para inmunizarlos al vih estasconectado maria galindo mi postulacion es un acto de rebeld estasconectado atletico barcelona en un choque de dos gig estasconectado te presentamos la frase del dia en este miercol",193739
"9","Correo del Sur","aprehenden a militar sospechoso de la muerte de la sargento del grupo aereo presidencial <U+25BA> csenvivo celebran en sucre años de aniversario de la unidad de élite de la policia radio patrull policias volveran a resguardar seguridad a la poblacion de camargo tras acuerdo <U+25BA> la cns celebro a los niños con una atencion especial <U+25BA> educacion maestros urbanos de sucre cumpliran marcha de protesta la tarde de este jueves con suspension cl csenvivo artesanos de sucre protestan en la plaza exigiendo al concejo que asegure recursos para centro artesanal los trabajadores de la cps acataron el paro nacional <U+25BA> estudiantes reclaman talleres tecnicos  <U+25BA> el gobierno descalifica proyecciones del fmi <U+25BA> cotes tropieza en aprobacion de estatuto <U+25BA> argentina arranca juicio por muerte de bolivianos  <U+25BA> comision quiere que zapata sea entrevistada en la carcel <U+25BA> urquizu hay un plan para desprestigiarme <U+25BA> recapado de salida hacia alcantari aun no arranca <U+25BA> caricatura compartimos el humor de ivan en figuras y figuron frenan deposito de tierra y piedras en la zona de pajchiri  vetan a los politicos para designacion de contralor  se abre el dialogo para que policias vuelvan a camargo  padres de familia continuan con bloqueos en los colegios  gobierno ratifica de alza salarial y descarta subir mas  buen dia compartimos nuestra portada de hoy jueves de abril d final del partido   sao paulo – riverplate tabla river sao paulo t strongest trujillanos   copalibert minuto gooool de caleri  sao paulo – riverplate el ex boca anota para el local  copalibert controvertido libro asegura que los “tacana” fueron creados en los años ‘  <U+25BA> autopsia revela que sargento del grupo aereo p fue golpeada violada y estrangulada <U+25BA> final del partido  racing – bocajuniors tabla boca racing bolivar dep cali   copalibert minuto gooool de lodeiro  racing – bocajuniors con merecimientos la visita gana en el cilindro  copalibert csenvivo comenzo la asamblea de cotes socios hicieron leer nota denunciando a la comision revisora de estatut miss capital no renunciara a su titulo y desmiente tomar acciones contra organizacion  <U+25BA> miss capital no renunciara a su titulo y desmiente tomar acciones contra organizacion  <U+25BA> un gran atletico marca resiste y elimina al barcelona <U+25BA> evo dice que la nueva agencia de chile defendera una soberania robada  <U+25BA> hay tres postulantes a defensor del pueblo entre ellos una feminista y un ex policia  <U+25BA> final del partido  atleticomadrid barcelona el barça de messi queda eliminado  championsleag minuto gooool de griezmann  atleticomadrid barcelona marco de penal tras mano de iniesta   championsleag sucre personeros de la veterinaria arca de noe confirmaron que el condor rescatado murio pasado el mediodia de hoy gobierno chileno creara agencia de la soberania para defender sus intereses <U+25BA> en marcha el do tiempo  atleticomadrid barcelona gol griezmann  championsleag final del er tiempo  atleticomadrid barcelona gol griezmann  championsleag minuto gooool de griezmann  atleticomadrid barcelona cabezazo del frances para clasificar por ahora  championsleag moldiz recibio donativos del ministerio de la presidencia incautados por la aduana <U+25BA> policia y autoridades de camargo se reuniran para acordar retorno de uniformados <U+25BA> gobernador urquizu califica de falsas las acusaciones de luis ayllon sobre clan familiar <U+25BA> csenvivo rescatan condor aparentemente envenenado en punilla la idea es rehabilitarlo para que vuelva a su habit cochabamba amanece con un contundente paro civico y bloqueo de caminos <U+25BA> csenvivo el gobernador esteban urquizu califico de falsas las acusaciones de luis ayllon sobre clan famili lapaz asi aparecio maria galindo a su postulacion para la defensoria del pueblo que opinas  foto radio éxit csenvivo trabajadores de caja petrolera bloquean av del maestro demandando destitucion de directores nacional salud cns realiza control pediatrico desparasitacion y entrega de regalos a escuelas en homenaje al dia del niñ csenvivo los bloqueos de la junta de padres de familia son relampagos y se ejecutan en varias call",4567
"10","Bolivia.com","tecnologia abren local dedicado a juegos de realidad virtual  tecnologia el robot pepper ayudara a dar clases en un instituto de japon  sexualidad juguete sexual destruye el intestino de un hombre  enpareja “a ti que vuelves cuando te da la gana”  enterate ariadna gutierrez estaria estrenando novio  petroquimica bcb otorga credito de millones de dolares a ypfb   nba kobe bryant federer y nadal usan tenis especiales en su honor  cine ‘el libro de la selva’ jon favreau recupera “la vieja esencia de disney”  esoterismo horoscopo de josie diez canseco para el de abril del   hollywood megan fox habla de su embarazo  libertadores the strongest cae ante trujillanos y deja en suspenso su clasificacion  viral viral mas de mil personas esquiaron en bikini  hollywood lea michele se tatua en honor a su exnovio cory monteith  desarrollo humala afirma que busca generar un eje de desarrollo geopolitico con bolivia  salud todo lo que debes saber del parkinson rigido  tecnologia htc el terminal con el que quiere ganar terreno en la telefonia  espacio yuri gagarin el primer hombre que llego al espacio  mascotas  por que se debe esterilizar a los gatos   mma joao carvalho peleador de mma murio por este nocaut  nba nba un cierre de temporada regular sin precedentes  rally uyni y el rally dakar por bolivia en una muestra fotografica  futbol bolivar un mes de baja para el argentino cardozo por una fractura  visa bolivia y rusia firman acuerdo para eliminar visados  salario gobierno ofrece aumento salarial de para este año  nba nba un cierre de temporada regular sin precedentes  cine ‘capitan america guerra civil’ estrena nuevo trailer  ballet ballet folklorico nacional cumple años de aporte artistico  f  formula la pole position vuelve a su formato original  cancer seis consejos para prevenir el cancer de prostata  sueño almohada emite musica relajante para que puedas dormir bien  espacio detectan planetas despojados de atmosfera por la radiacion de su estrella  tecnologia cinturon inteligente regula tu temperatura mientras viajas en tu moto  alianza cancilleres de bolivia y argentina visitan esta semana moscu  futbol john terry paga el funeral de un hincha del chelsea  papa el papa francisco recibira a evo morales en el vaticano el de abril  nfl will smith exjugador de futbol americano murio por un tiro en la cabeza  olimpicos rio se inauguro la piscina olimpica para los juegos  salud seis consejos para prevenir el cancer de prostata  nba nba warriors vencen a spurs y logran marca historica  golf masters de augusta danny willett se corono campeon  ligaboliviana a la mitad del torneo wilstermann se consolida como lider  cine ‘el escuadron suicida’ estrena trailer con batman  esoterismo horoscopo de josie diez canseco para el de abril del   pareja diez rasgos que te convierten en una pareja horrible  gadgets quell el wearable que alivia el dolor sin pastillas  familia crean tapon para que el feto pueda escuchar musica  tecnologia almohada emite musica relajante para que puedas dormir bien  apps  como esconder fotos en el celular   bmx mariana pajon se cayo en la copa mundo de manchester ",1282
